Date,Open,High,Low,Close,Volume,SMA_5,SMA_20,Returns
2025-12-04,17.22,17.38,16.84,16.99,0,16.758,15.5755,-0.013356562137049943
2025-12-05,16.99,17.35,16.9,17.29,0,17.028,15.717500000000001,0.017657445556209517
2025-12-08,17.33,17.45,17.23,17.39,0,17.136,15.849,0.005783689994216301
2025-12-09,17.39,17.51,17.12,17.4,0,17.258,15.966,0.0005750431282345314
2025-12-10,17.4,18.4,17.4,17.83,0,17.38,16.094,0.02471264367816084
2025-12-11,17.92,18.38,17.92,18.18,0,17.618000000000002,16.2025,0.019629837352776347
2025-12-12,18.26,19.0,18.26,18.76,0,17.912,16.361,0.031903190319032104
2025-12-15,18.99,18.99,18.32,18.76,0,18.186,16.5415,0.0
2025-12-16,18.76,18.88,18.33,18.74,0,18.454,16.7325,-0.0010660980810236476
2025-12-17,18.85,19.73,18.66,19.53,0,18.794,16.945,0.042155816435432314
2025-12-18,20.01,20.88,19.04,19.64,0,19.086000000000002,17.174,0.005632360471070186
2025-12-19,20.0,20.44,19.32,19.56,0,19.246000000000002,17.413999999999998,-0.004073319755600879
2025-12-22,20.04,20.46,20.04,20.37,0,19.568,17.6845,0.04141104294478537
2025-12-23,20.41,20.77,20.41,20.51,0,19.922,17.951,0.0068728522336769515
2025-12-24,20.6,22.3,20.6,21.26,0,20.268,18.2425,0.03656752803510477
2025-12-26,21.79,22.75,21.79,22.44,0,20.828,18.572499999999998,0.05550329256820308
2025-12-29,23.5,25.1,17.77,22.44,0,21.404000000000003,18.8975,0.0
2025-12-30,21.87,23.9,21.48,22.31,0,21.792,19.1705,-0.005793226381461736
2025-12-31,22.18,22.66,21.1,21.85,0,22.06,19.423499999999997,-0.020618556701030855
2026-01-01,21.85,22.05,21.25,21.84,0,22.176,19.654500000000002,-0.0004576659038901809
2026-01-02,22.01,22.63,22.01,22.57,0,22.201999999999998,19.933500000000002,0.03342490842490853
2026-01-05,22.74,23.93,22.57,22.88,0,22.29,20.213,0.013735046521931693
2026-01-06,22.88,23.6,22.88,23.57,0,22.541999999999998,20.522,0.03015734265734271
2026-01-07,23.76,24.41,23.5,23.78,0,22.928,20.841,0.008909630886720477
2026-01-08,23.61,23.68,22.33,22.67,0,23.094,21.083,-0.046677880571909136
2026-01-09,22.62,23.41,22.3,23.36,0,23.252000000000002,21.342,0.030436700485222623
2026-01-12,24.6,24.73,23.7,24.69,0,23.613999999999997,21.6385,0.05693493150684947
2026-01-13,24.94,25.53,24.7,25.33,0,23.966,21.967000000000002,0.025921425678412158
2026-01-14,25.6,27.04,25.6,26.87,0,24.584,22.3735,0.06079747335175689
2026-01-16,26.84,27.35,26.5,27.27,0,25.504,22.7605,0.014886490509862238
